CountyId,State,County,TotalPop,Men,Women,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
48341,Texas,Moore County,22016,11466,10550,52469,3568,21372,1142,16.9,26.0,10591,81.6,13.8,4.4,0.3,4.1
48343,Texas,Morris County,12530,6022,6508,40227,4275,22803,2179,15.7,20.9,5044,75.7,17.6,6.6,0.1,9.9
48345,Texas,Motley County,1114,575,539,40598,7989,25908,3973,12.2,11.3,513,64.5,17.7,17.7,0.0,8.1
48347,Texas,Nacogdoches County,65411,31297,34114,41482,2289,22589,1150,24.9,32.2,28199,73.4,19.2,7.2,0.2,8.6
48349,Texas,Navarro County,48239,23726,24513,45103,2407,22152,1046,18.8,29.8,20325,75.5,15.8,8.5,0.2,9.4
48351,Texas,Newton County,14187,7436,6751,40180,5490,20800,1616,15.7,19.3,4971,76.9,19.2,3.8,0.0,11.6
48353,Texas,Nolan County,14990,7629,7361,42019,2694,23686,1769,16.8,25.0,6316,74.3,18.5,7.1,0.1,7.1
48355,Texas,Nueces County,358484,176836,181648,53317,981,26780,491,16.7,23.8,165116,77.8,15.3,6.8,0.2,5.9
48357,Texas,Ochiltree County,10484,5353,5131,50120,4332,24157,2387,13.0,14.7,4679,79.1,12.8,7.8,0.3,7.6
48359,Texas,Oldham County,2083,1208,875,62426,7152,25461,7333,11.1,14.6,776,82.5,11.9,5.2,0.5,3.8
48361,Texas,Orange County,83909,41505,42404,53667,2201,27938,1206,14.2,18.7,36743,81.9,13.2,4.7,0.1,6.0
